time,min,max,mean,mass,l2_error
0,1.2910375734799434e-42,0.9863332379394181,0.0886226925452758,0.0686997616630045,0.0014971976643283797
1,1.7176837447802936e-41,0.978830214072691,0.0886226925452758,0.0686997616630045,0.0029657609579734658
2,1.7458478139080586e-40,0.9714934184988092,0.0886226925452758,0.0686997616630045,0.004406597701157335
3,1.4427000353401572e-39,0.9643168867562346,0.0886226925452758,0.0686997616630045,0.005820575306813556
4,1.0043393981198379e-38,0.9572949457910348,0.0886226925452758,0.0686997616630045,0.007208523095889163
5,6.05085619584789e-38,0.9504221961383635,0.0886226925452758,0.0686997616630045,0.008571234450925532
6,3.222157858932138e-37,0.9436934954012042,0.08862269254527581,0.0686997616630045,0.009909468821181528
7,1.542240387937428e-36,0.9371039429175602,0.0886226925452758,0.0686997616630045,0.011223953591319192
8,6.725100723388483e-36,0.9306488655175522,0.0886226925452758,0.0686997616630045,0.012515385824559706
9,2.7013137775050046e-35,0.9243238042810834,0.0886226925452758,0.0686997616630045,0.013784433890220065
10,1.0086424461541737e-34,0.9181245022149813,0.0886226925452758,0.0686997616630045,0.015031738984645916
11,3.5277035271012308e-34,0.9120468927759355,0.0886226925452758,0.0686997616630045,0.016257916553751466
12,1.1631402211390869e-33,0.9060870891722037,0.0886226925452758,0.0686997616630045,0.01746355762465351
13,3.635281353618246e-33,0.9002413743830519,0.08862269254527581,0.0686997616630045,0.018649230053234263
14,1.082074917530207e-32,0.8945061918402917,0.08862269254527581,0.0686997616630045,0.019815479693879024
15,3.080097911020114e-32,0.888878136721144,0.0886226925452758,0.0686997616630045,0.020962831497103148
16,8.414120229735391e-32,0.8833539478060561,0.0886226925452758,0.0686997616630045,0.022091790540301914
17,2.2128454224649168e-31,0.8779304998590703,0.08862269254527581,0.0686997616630045,0.02320284299642134
18,5.618169279457523e-31,0.8726047964919404,0.0886226925452758,0.0686997616630045,0.024296457044953517
19,1.3804140037726392e-30,0.867373963476447,0.0886226925452758,0.0686997616630045,0.025373083729301547
20,3.289652175147935e-30,0.8622352424723168,0.0886226925452758,0.0686997616630045,0.026433157764233876
21,7.618579788000072e-30,0.8571859851408319,0.0886226925452758,0.0686997616630045,0.027477098296851788
22,1.7177271495900057e-29,0.8522236476166514,0.0886226925452758,0.0686997616630045,0.028505309624224148
23,3.776501562256e-29,0.8473457853125815,0.0886226925452758,0.0686997616630045,0.02951818187059799
24,8.108033264641078e-29,0.8425500480340488,0.0886226925452758,0.0686997616630045,0.03051609162686931
25,1.702199545984016e-28,0.8378341753818666,0.0886226925452758,0.0686997616630045,0.03149940255479372
26,3.498675144080606e-28,0.8331959924235637,0.0886226925452758,0.0686997616630045,0.03246846595822966
27,7.04823132009517e-28,0.8286334056150723,0.0886226925452758,0.0686997616630045,0.03342362132353527
28,1.3931125408514072e-27,0.8241443989559694,0.0886226925452758,0.0686997616630045,0.03436519683108374
29,2.7041644589088973e-27,0.8197270303627477,0.0886226925452758,0.0686997616630045,0.03529350983971755
30,5.1594213652692445e-27,0.8153794282457585,0.0886226925452758,0.0686997616630045,0.036208867345830766
31,9.683716157735572e-27,0.8110997882765424,0.0886226925452758,0.0686997616630045,0.03711156641864673
32,1.7893001440302766e-26,0.8068863703332482,0.0886226925452758,0.0686997616630045,0.038001894613147805
33,3.257081157825358e-26,0.8027374956127385,0.0886226925452758,0.0686997616630045,0.038880130362010774
34,5.844692877126983e-26,0.7986515438988118,0.0886226925452758,0.0686997616630045,0.039746543347807715
35,1.0345399668550465e-25,0.794626950976729,0.0886226925452758,0.0686997616630045,0.040601394856644824
36,1.8073112701612594e-25,0.7906622061849355,0.0886226925452758,0.0686997616630045,0.04144493811433183
37,3.1178181858673366e-25,0.7867558500955112,0.0886226925452758,0.0686997616630045,0.042277418606100486
38,5.313962966921386e-25,0.7829064723154747,0.0886226925452758,0.0686997616630045,0.04309907438082245
39,8.952428063805188e-25,0.7791127094016181,0.0886226925452758,0.0686997616630045,0.04391013634061353
40,1.4914557571529446e-24,0.775373242882048,0.0886226925452758,0.0686997616630045,0.04471082851665306
41,2.45815175425442e-24,0.7716867973780782,0.0886226925452758,0.0686997616630045,0.04550136833199297
42,4.0096561534029585e-24,0.7680521388205493,0.0886226925452758,0.0686997616630045,0.046281966852081025
43,6.475414888435908e-24,0.7644680727550466,0.0886226925452758,0.0686997616630045,0.047052829023676336
44,1.0357221307653987e-23,0.7609334427308561,0.0886226925452758,0.0686997616630045,0.04781415390279219
45,1.6412667026335257e-23,0.757447128768841,0.0886226925452758,0.0686997616630045,0.048566134872260996
46,2.5775840700880606e-23,0.7540080459037334,0.0886226925452758,0.0686997616630045,0.0493089598494795
47,4.0130523883329755e-23,0.7506151427966303,0.08862269254527581,0.0686997616630045,0.05004281148485743
